Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Eastern,,Primary Care Clinics,2023-08-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,15078,
Eastern,,Primary Care Clinics,2023-09-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,13797,
Eastern,,Primary Care Clinics,2023-10-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,13519,
Eastern,,Primary Care Clinics,2023-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,13771,
Eastern,,Primary Care Clinics,2023-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,14811,
Northern,,Primary Care Clinics,2022-04-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,20517,
Northern,,Primary Care Clinics,2022-05-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,20648,
Northern,,Primary Care Clinics,2022-06-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,20766,
Northern,,Primary Care Clinics,2022-07-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,21040,
Northern,,Primary Care Clinics,2022-08-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,21490,
Northern,,Primary Care Clinics,2022-09-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,22231,
Northern,,Primary Care Clinics,2022-10-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,22555,
Northern,,Primary Care Clinics,2022-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,22786,
Northern,,Primary Care Clinics,2022-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,23204,
Northern,,Primary Care Clinics,2023-01-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,23606,
Eastern,,,2023-09-01,Home Support Waitlist - Full,444,
Northern,,Primary Care Clinics,2023-02-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24054,
Northern,,Primary Care Clinics,2023-03-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24492,
Northern,,Primary Care Clinics,2023-04-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24931,
Northern,,Primary Care Clinics,2023-05-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,25062,
Northern,,Primary Care Clinics,2023-06-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,25487,
Northern,,Primary Care Clinics,2023-07-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,25966,
Northern,,Primary Care Clinics,2023-08-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,25966,
Northern,,Primary Care Clinics,2023-09-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24710,
Northern,,Primary Care Clinics,2023-10-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24936,
Northern,,Primary Care Clinics,2023-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24191,
Northern,,Primary Care Clinics,2023-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24106,
Western,,Primary Care Clinics,2022-04-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,21787,
Western,,Primary Care Clinics,2022-05-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,22597,
Western,,Primary Care Clinics,2022-06-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,22531,
Western,,Primary Care Clinics,2022-07-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,23598,
Western,,Primary Care Clinics,2022-08-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,24416,
Western,,Primary Care Clinics,2022-09-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,25053,
Western,,Primary Care Clinics,2022-10-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,25884,
Western,,Primary Care Clinics,2022-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,26356,
Western,,Primary Care Clinics,2022-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,26893,
Western,,Primary Care Clinics,2023-01-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,27199,
Western,,Primary Care Clinics,2023-02-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,27549,
Western,,Primary Care Clinics,2023-03-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,27814,
Western,,Primary Care Clinics,2023-04-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,28246,
Western,,Primary Care Clinics,2023-05-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,28276,
Western,,Primary Care Clinics,2023-06-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,29047,
Western,,Primary Care Clinics,2023-07-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,29377,
Western,,Primary Care Clinics,2023-08-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,29377,
Western,,Primary Care Clinics,2023-09-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,26496,
Western,,Primary Care Clinics,2023-10-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,26552,
Western,,Primary Care Clinics,2023-11-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,26781,
Western,,Primary Care Clinics,2023-12-01,Nova Scotians on the NAFP Registry are eligible to access care through Primary Care Clinics,26124,
Central,,Community Pharmacies,2022-04-01,Primary care services were completed at Community Pharmacies,8980,
Central,,Community Pharmacies,2022-05-01,Primary care services were completed at Community Pharmacies,8231,
Central,,Community Pharmacies,2022-06-01,Primary care services were completed at Community Pharmacies,8933,
Central,,Community Pharmacies,2022-07-01,Primary care services were completed at Community Pharmacies,9948,
Central,,Community Pharmacies,2022-08-01,Primary care services were completed at Community Pharmacies,10058,
Central,,Community Pharmacies,2022-09-01,Primary care services were completed at Community Pharmacies,10471,
Central,,Community Pharmacies,2022-10-01,Primary care services were completed at Community Pharmacies,9671,
Central,,Community Pharmacies,2022-11-01,Primary care services were completed at Community Pharmacies,10304,
Central,,Community Pharmacies,2022-12-01,Primary care services were completed at Community Pharmacies,9935,
Central,,Community Pharmacies,2023-01-01,Primary care services were completed at Community Pharmacies,9774,
Central,,Community Pharmacies,2023-02-01,Primary care services were completed at Community Pharmacies,10064,
Central,,Community Pharmacies,2023-03-01,Primary care services were completed at Community Pharmacies,9742,
Central,,Community Pharmacies,2023-04-01,Primary care services were completed at Community Pharmacies,11634,
Central,,Community Pharmacies,2023-05-01,Primary care services were completed at Community Pharmacies,10418,
Central,,Community Pharmacies,2023-06-01,Primary care services were completed at Community Pharmacies,12169,
Central,,Community Pharmacies,2023-07-01,Primary care services were completed at Community Pharmacies,11738,
Central,,Community Pharmacies,2023-08-01,Primary care services were completed at Community Pharmacies,11953,
Central,,Community Pharmacies,2023-09-01,Primary care services were completed at Community Pharmacies,12693,
Central,,Community Pharmacies,2023-10-01,Primary care services were completed at Community Pharmacies,12447,
Central,,Community Pharmacies,2023-11-01,Primary care services were completed at Community Pharmacies,12546,
Central,,Community Pharmacies,2023-12-01,Primary care services were completed at Community Pharmacies,12037,
Eastern,,Community Pharmacies,2022-04-01,Primary care services were completed at Community Pharmacies,3911,
Eastern,,Community Pharmacies,2022-05-01,Primary care services were completed at Community Pharmacies,3892,
Eastern,,Community Pharmacies,2022-06-01,Primary care services were completed at Community Pharmacies,4035,
Eastern,,Community Pharmacies,2022-07-01,Primary care services were completed at Community Pharmacies,4130,
Eastern,,Community Pharmacies,2022-08-01,Primary care services were completed at Community Pharmacies,4507,
Eastern,,Community Pharmacies,2022-09-01,Primary care services were completed at Community Pharmacies,4989,
Eastern,,Community Pharmacies,2022-10-01,Primary care services were completed at Community Pharmacies,4407,
Eastern,,Community Pharmacies,2022-11-01,Primary care services were completed at Community Pharmacies,4638,
Eastern,,Community Pharmacies,2022-12-01,Primary care services were completed at Community Pharmacies,4419,
Eastern,,Community Pharmacies,2023-01-01,Primary care services were completed at Community Pharmacies,4376,
Eastern,,Community Pharmacies,2023-02-01,Primary care services were completed at Community Pharmacies,4315,
Eastern,,Community Pharmacies,2023-03-01,Primary care services were completed at Community Pharmacies,4355,
Eastern,,Community Pharmacies,2023-04-01,Primary care services were completed at Community Pharmacies,4941,
Eastern,,Community Pharmacies,2023-05-01,Primary care services were completed at Community Pharmacies,4487,
Eastern,,Community Pharmacies,2023-06-01,Primary care services were completed at Community Pharmacies,5012,
Eastern,,Community Pharmacies,2023-07-01,Primary care services were completed at Community Pharmacies,4796,
Eastern,,Community Pharmacies,2023-08-01,Primary care services were completed at Community Pharmacies,4944,
Eastern,,Community Pharmacies,2023-09-01,Primary care services were completed at Community Pharmacies,5913,
Eastern,,Community Pharmacies,2023-10-01,Primary care services were completed at Community Pharmacies,5336,
Eastern,,Community Pharmacies,2023-11-01,Primary care services were completed at Community Pharmacies,5422,
Eastern,,Community Pharmacies,2023-12-01,Primary care services were completed at Community Pharmacies,5879,
Northern,,Community Pharmacies,2022-04-01,Primary care services were completed at Community Pharmacies,4928,
Northern,,Community Pharmacies,2022-05-01,Primary care services were completed at Community Pharmacies,4566,
Northern,,Community Pharmacies,2022-06-01,Primary care services were completed at Community Pharmacies,5035,
Northern,,Community Pharmacies,2022-07-01,Primary care services were completed at Community Pharmacies,5232,
Northern,,Community Pharmacies,2022-08-01,Primary care services were completed at Community Pharmacies,5115,
Northern,,Community Pharmacies,2022-09-01,Primary care services were completed at Community Pharmacies,5447,
Northern,,Community Pharmacies,2022-10-01,Primary care services were completed at Community Pharmacies,5048,
Northern,,Community Pharmacies,2022-11-01,Primary care services were completed at Community Pharmacies,5588,
Northern,,Community Pharmacies,2022-12-01,Primary care services were completed at Community Pharmacies,5191,
Northern,,Community Pharmacies,2023-01-01,Primary care services were completed at Community Pharmacies,5193,
Northern,,Community Pharmacies,2023-02-01,Primary care services were completed at Community Pharmacies,4673,
Northern,,Community Pharmacies,2023-03-01,Primary care services were completed at Community Pharmacies,4253,
Northern,,Community Pharmacies,2023-04-01,Primary care services were completed at Community Pharmacies,5095,
Northern,,Community Pharmacies,2023-05-01,Primary care services were completed at Community Pharmacies,4881,
Northern,,Community Pharmacies,2023-06-01,Primary care services were completed at Community Pharmacies,5379,
Northern,,Community Pharmacies,2023-07-01,Primary care services were completed at Community Pharmacies,5239,
Northern,,Community Pharmacies,2023-08-01,Primary care services were completed at Community Pharmacies,5606,
Northern,,Community Pharmacies,2023-09-01,Primary care services were completed at Community Pharmacies,6156,
Northern,,Community Pharmacies,2023-10-01,Primary care services were completed at Community Pharmacies,5842,
Northern,,Community Pharmacies,2023-11-01,Primary care services were completed at Community Pharmacies,6554,
Northern,,Community Pharmacies,2023-12-01,Primary care services were completed at Community Pharmacies,6342,
Western,,Community Pharmacies,2022-04-01,Primary care services were completed at Community Pharmacies,4140,
Western,,Community Pharmacies,2022-05-01,Primary care services were completed at Community Pharmacies,4273,
Western,,Community Pharmacies,2022-06-01,Primary care services were completed at Community Pharmacies,5132,
Western,,Community Pharmacies,2022-07-01,Primary care services were completed at Community Pharmacies,5638,
Western,,Community Pharmacies,2022-08-01,Primary care services were completed at Community Pharmacies,5410,
Western,,Community Pharmacies,2022-09-01,Primary care services were completed at Community Pharmacies,5165,
Western,,Community Pharmacies,2022-10-01,Primary care services were completed at Community Pharmacies,4578,
Western,,Community Pharmacies,2022-11-01,Primary care services were completed at Community Pharmacies,6588,
Western,,Community Pharmacies,2022-12-01,Primary care services were completed at Community Pharmacies,6164,
Western,,Community Pharmacies,2023-01-01,Primary care services were completed at Community Pharmacies,4776,
Western,,Community Pharmacies,2023-02-01,Primary care services were completed at Community Pharmacies,4802,
Western,,Community Pharmacies,2023-03-01,Primary care services were completed at Community Pharmacies,4284,
Western,,Community Pharmacies,2023-04-01,Primary care services were completed at Community Pharmacies,4993,
Western,,Community Pharmacies,2023-05-01,Primary care services were completed at Community Pharmacies,5557,
Western,,Community Pharmacies,2023-06-01,Primary care services were completed at Community Pharmacies,6160,
Western,,Community Pharmacies,2023-07-01,Primary care services were completed at Community Pharmacies,5867,
Western,,Community Pharmacies,2023-08-01,Primary care services were completed at Community Pharmacies,5769,
Western,,Community Pharmacies,2023-09-01,Primary care services were completed at Community Pharmacies,5803,
Western,,Community Pharmacies,2023-10-01,Primary care services were completed at Community Pharmacies,5146,
Western,,Community Pharmacies,2023-11-01,Primary care services were completed at Community Pharmacies,6468,
Western,,Community Pharmacies,2023-12-01,Primary care services were completed at Community Pharmacies,6455,
Central,,Community Pharmacy PCCs,2023-03-01,Visits were completed at Community Pharmacy Primary Care Clinics,627,
Central,,Community Pharmacy PCCs,2023-04-01,Visits were completed at Community Pharmacy Primary Care Clinics,916,
Central,,Community Pharmacy PCCs,2023-05-01,Visits were completed at Community Pharmacy Primary Care Clinics,959,
Central,,Community Pharmacy PCCs,2023-06-01,Visits were completed at Community Pharmacy Primary Care Clinics,1951,
Central,,Community Pharmacy PCCs,2023-07-01,Visits were completed at Community Pharmacy Primary Care Clinics,2945,
Central,,Community Pharmacy PCCs,2023-08-01,Visits were completed at Community Pharmacy Primary Care Clinics,3128,
Central,,Community Pharmacy PCCs,2023-09-01,Visits were completed at Community Pharmacy Primary Care Clinics,3612,
Central,,Community Pharmacy PCCs,2023-10-01,Visits were completed at Community Pharmacy Primary Care Clinics,3773,
Central,,Community Pharmacy PCCs,2023-11-01,Visits were completed at Community Pharmacy Primary Care Clinics,4216,
Central,,Community Pharmacy PCCs,2023-12-01,Visits were completed at Community Pharmacy Primary Care Clinics,5050,
Eastern,,Community Pharmacy PCCs,2023-03-01,Visits were completed at Community Pharmacy Primary Care Clinics,517,
Eastern,,Community Pharmacy PCCs,2023-04-01,Visits were completed at Community Pharmacy Primary Care Clinics,796,
Eastern,,Community Pharmacy PCCs,2023-05-01,Visits were completed at Community Pharmacy Primary Care Clinics,767,
Eastern,,Community Pharmacy PCCs,2023-06-01,Visits were completed at Community Pharmacy Primary Care Clinics,1713,
Eastern,,Community Pharmacy PCCs,2023-07-01,Visits were completed at Community Pharmacy Primary Care Clinics,1891,
Eastern,,Community Pharmacy PCCs,2023-08-01,Visits were completed at Community Pharmacy Primary Care Clinics,1946,
Eastern,,Community Pharmacy PCCs,2023-09-01,Visits were completed at Community Pharmacy Primary Care Clinics,2008,
Eastern,,Community Pharmacy PCCs,2023-10-01,Visits were completed at Community Pharmacy Primary Care Clinics,1769,
Eastern,,Community Pharmacy PCCs,2023-11-01,Visits were completed at Community Pharmacy Primary Care Clinics,1952,
Eastern,,Community Pharmacy PCCs,2023-12-01,Visits were completed at Community Pharmacy Primary Care Clinics,1980,
Northern,,Community Pharmacy PCCs,2023-03-01,Visits were completed at Community Pharmacy Primary Care Clinics,604,
Northern,,Community Pharmacy PCCs,2023-04-01,Visits were completed at Community Pharmacy Primary Care Clinics,818,
Northern,,Community Pharmacy PCCs,2023-05-01,Visits were completed at Community Pharmacy Primary Care Clinics,745,
Northern,,Community Pharmacy PCCs,2023-06-01,Visits were completed at Community Pharmacy Primary Care Clinics,1648,
Northern,,Community Pharmacy PCCs,2023-07-01,Visits were completed at Community Pharmacy Primary Care Clinics,1383,
Northern,,Community Pharmacy PCCs,2023-08-01,Visits were completed at Community Pharmacy Primary Care Clinics,967,
Northern,,Community Pharmacy PCCs,2023-09-01,Visits were completed at Community Pharmacy Primary Care Clinics,1001,
Northern,,Community Pharmacy PCCs,2023-10-01,Visits were completed at Community Pharmacy Primary Care Clinics,1023,
Northern,,Community Pharmacy PCCs,2023-11-01,Visits were completed at Community Pharmacy Primary Care Clinics,1202,
Northern,,Community Pharmacy PCCs,2023-12-01,Visits were completed at Community Pharmacy Primary Care Clinics,2090,
Western,,Community Pharmacy PCCs,2023-03-01,Visits were completed at Community Pharmacy Primary Care Clinics,1371,
Western,,Community Pharmacy PCCs,2023-04-01,Visits were completed at Community Pharmacy Primary Care Clinics,1767,
Western,,Community Pharmacy PCCs,2023-05-01,Visits were completed at Community Pharmacy Primary Care Clinics,1484,
Western,,Community Pharmacy PCCs,2023-06-01,Visits were completed at Community Pharmacy Primary Care Clinics,2577,
Western,,Community Pharmacy PCCs,2023-07-01,Visits were completed at Community Pharmacy Primary Care Clinics,2489,
Western,,Community Pharmacy PCCs,2023-08-01,Visits were completed at Community Pharmacy Primary Care Clinics,2539,
Western,,Community Pharmacy PCCs,2023-09-01,Visits were completed at Community Pharmacy Primary Care Clinics,2723,
Western,,Community Pharmacy PCCs,2023-10-01,Visits were completed at Community Pharmacy Primary Care Clinics,2540,
Western,,Community Pharmacy PCCs,2023-11-01,Visits were completed at Community Pharmacy Primary Care Clinics,2671,
Western,,Community Pharmacy PCCs,2023-12-01,Visits were completed at Community Pharmacy Primary Care Clinics,2918,
Unknown,,Diabetes Centre,2020-04-01,Visits were completed at Diabetes Centres,3833,
Unknown,,Diabetes Centre,2020-05-01,Visits were completed at Diabetes Centres,3840,
Unknown,,Diabetes Centre,2020-06-01,Visits were completed at Diabetes Centres,3955,
Unknown,,Diabetes Centre,2020-07-01,Visits were completed at Diabetes Centres,3631,
Unknown,,Diabetes Centre,2020-08-01,Visits were completed at Diabetes Centres,3195,
Unknown,,Diabetes Centre,2020-09-01,Visits were completed at Diabetes Centres,3789,
Unknown,,Diabetes Centre,2020-10-01,Visits were completed at Diabetes Centres,3807,
Unknown,,Diabetes Centre,2020-11-01,Visits were completed at Diabetes Centres,3910,
Unknown,,Diabetes Centre,2020-12-01,Visits were completed at Diabetes Centres,3688,
Unknown,,Diabetes Centre,2021-01-01,Visits were completed at Diabetes Centres,3711,
Unknown,,Diabetes Centre,2021-02-01,Visits were completed at Diabetes Centres,3785,
Unknown,,Diabetes Centre,2021-03-01,Visits were completed at Diabetes Centres,4628,
Unknown,,Diabetes Centre,2021-04-01,Visits were completed at Diabetes Centres,4342,
Unknown,,Diabetes Centre,2021-05-01,Visits were completed at Diabetes Centres,4170,
Unknown,,Diabetes Centre,2021-06-01,Visits were completed at Diabetes Centres,4565,
Unknown,,Diabetes Centre,2021-07-01,Visits were completed at Diabetes Centres,3977,
Unknown,,Diabetes Centre,2021-08-01,Visits were completed at Diabetes Centres,4124,
Unknown,,Diabetes Centre,2021-09-01,Visits were completed at Diabetes Centres,4280,
Unknown,,Diabetes Centre,2021-10-01,Visits were completed at Diabetes Centres,4460,
Unknown,,Diabetes Centre,2021-11-01,Visits were completed at Diabetes Centres,4565,
Eastern,,,2023-10-01,Home Support Waitlist - Full,507,
Unknown,,Diabetes Centre,2021-12-01,Visits were completed at Diabetes Centres,4024,
Unknown,,Diabetes Centre,2022-01-01,Visits were completed at Diabetes Centres,4449,
Unknown,,Diabetes Centre,2022-02-01,Visits were completed at Diabetes Centres,4274,
Unknown,,Diabetes Centre,2022-03-01,Visits were completed at Diabetes Centres,5027,
Unknown,,Diabetes Centre,2022-04-01,Visits were completed at Diabetes Centres,4543,
Unknown,,Diabetes Centre,2022-05-01,Visits were completed at Diabetes Centres,5015,
Unknown,,Diabetes Centre,2022-06-01,Visits were completed at Diabetes Centres,4926,
Unknown,,Diabetes Centre,2022-07-01,Visits were completed at Diabetes Centres,4308,
Unknown,,Diabetes Centre,2022-08-01,Visits were completed at Diabetes Centres,4306,
Unknown,,Diabetes Centre,2022-09-01,Visits were completed at Diabetes Centres,4325,
Unknown,,Diabetes Centre,2022-10-01,Visits were completed at Diabetes Centres,4619,
Unknown,,Diabetes Centre,2022-11-01,Visits were completed at Diabetes Centres,4817,
Unknown,,Diabetes Centre,2022-12-01,Visits were completed at Diabetes Centres,4026,
Unknown,,Diabetes Centre,2023-01-01,Visits were completed at Diabetes Centres,4828,
Unknown,,Diabetes Centre,2023-02-01,Visits were completed at Diabetes Centres,4388,
Unknown,,Diabetes Centre,2023-03-01,Visits were completed at Diabetes Centres,4970,
Unknown,,Diabetes Centre,2023-04-01,Visits were completed at Diabetes Centres,4372,
Unknown,,Diabetes Centre,2023-05-01,Visits were completed at Diabetes Centres,5291,
Unknown,,Diabetes Centre,2023-06-01,Visits were completed at Diabetes Centres,5011,
Unknown,,Diabetes Centre,2023-07-01,Visits were completed at Diabetes Centres,4418,
